Geneid,GSM5290389_Snr1KD_RNA-seq_Ov_rep1,GSM5290390_Snr1KD_RNA-seq_Ov_rep2,GSM5290391_mod_mdg4KD_RNA-seq_Ov_rep1,GSM5290392_mod_mdg4KD_RNA-seq_Ov_rep2
FBgn0031081,12,12,12,31
FBgn0052826,0,0,0,0
FBgn0031085,2,2,0,0
FBgn0062565,0,0,0,0
FBgn0031088,0,3,0,0
FBgn0041626,0,0,0,0
FBgn0040784,0,2,1,0
FBgn0031086,0,0,0,0
FBgn0031082,0,0,0,0
FBgn0031080,33,45,72,61
FBgn0052821,0,0,0,0
FBgn0053217,3566,5662,10332,10623
FBgn0052350,11011,16845,28484,27421
FBgn0024733,157248,232075,239970,219340
FBgn0040372,20908,25200,22449,22626
FBgn0000316,8382,11917,10937,10284
FBgn0024989,82,118,265,383
FBgn0040371,3,2,1,0
FBgn0029521,0,0,0,0
FBgn0004034,247,400,386,607
FBgn0000022,1,1,0,0
FBgn0004170,0,0,1,0
FBgn0002561,0,1,0,0
FBgn0000137,0,0,0,0
FBgn0029522,3413,3544,3919,3464
FBgn0052817,29,72,56,36
FBgn0029524,29,52,81,83
FBgn0023536,2142,2574,2791,2601
FBgn0023534,16,17,24,25
FBgn0023535,80,74,126,146
FBgn0023537,17648,16575,23491,22658
FBgn0029525,7315,8827,10530,10670
FBgn0029523,97,98,166,213
FBgn0010019,1537,821,771,2516
FBgn0011822,3,4,0,0
FBgn0052816,981,1452,791,827
FBgn0040370,348,480,82,77
FBgn0040373,2934,4259,3871,3556
FBgn0000108,304,296,1019,1022
FBgn0025640,1652,1122,5776,4928
FBgn0025635,5495,5118,6244,5743
FBgn0001341,4244,4610,6039,6832
FBgn0003575,6828,7061,7331,7489
FBgn0025634,2094,1587,3964,3719
FBgn0025638,7683,8873,12848,11251
FBgn0040383,84,63,508,441
FBgn0040382,3678,2983,4547,4216
FBgn0027343,686,512,641,643
FBgn0025621,5458,4637,6435,6149
FBgn0029535,0,0,0,0
FBgn0026874,17,11,12,12
FBgn0025616,2,2,2,5
FBgn0015799,15479,13312,18188,17877
FBgn0025620,4,0,1,4
FBgn0015288,8777,5378,58362,52125
FBgn0029532,1,0,2,4
FBgn0029531,10,4,13,20
FBgn0025639,20023,20188,20000,19899
FBgn0002579,52945,42005,184014,149467
FBgn0026879,4306,4141,8901,6793
FBgn0029529,582,386,1684,1217
FBgn0025633,24396,25085,24394,23153
FBgn0040892,0,0,0,0
FBgn0040341,0,0,0,0
FBgn0029539,1,1,0,0
FBgn0040339,2528,2943,3628,3089
FBgn0052815,56,43,52,40
FBgn0040340,4173,3654,10294,8906
FBgn0040347,6073,5921,7355,6875
FBgn0042146,1,2,16,4
FBgn0029552,0,0,0,0
FBgn0040337,2276,2489,4649,3660
FBgn0040398,262,195,338,578
FBgn0040365,0,1,2,4
FBgn0040397,5012,5751,7545,7512
FBgn0026143,12704,11666,18369,16470
FBgn0040351,75,55,62,70
FBgn0040338,2,5,5,4
FBgn0040350,1,0,0,1
FBgn0040349,5,1,23,23
FBgn0040348,25,23,431,383
FBgn0040346,4248,3380,7126,6476
FBgn0040342,0,2,7,8
FBgn0040345,0,1,0,0
FBgn0040343,1,0,1,0
FBgn0052814,77,116,60,73
FBgn0040364,684,672,1803,2316
FBgn0040362,0,0,0,0
FBgn0040361,5,0,5,6
FBgn0040360,7,2,28,6
FBgn0040359,44,50,90,110
FBgn0040358,10,7,13,14
FBgn0029568,19318,7783,36732,31720
FBgn0040357,17,13,61,52
FBgn0040367,223,273,658,703
FBgn0025642,9,6,39,52
FBgn0004650,20433,21759,27672,27905
FBgn0024362,8035,8154,11714,10766
FBgn0024361,9,10,8,9
FBgn0024364,6674,5466,11649,10416
FBgn0029573,7,0,2,0
FBgn0024987,8250,9671,10489,9891
FBgn0023169,7944,7155,13826,13408
FBgn0052813,211,223,461,501
FBgn0024985,3643,3784,5517,5547
FBgn0027794,1826,1023,4394,4265
FBgn0027795,91,73,144,141
FBgn0024986,2051,1847,4042,3103
FBgn0000826,3635,2467,8278,7109
FBgn0024365,7487,7021,11014,10388
FBgn0024360,2609,2194,4193,3492
FBgn0024366,168,158,133,133
FBgn0025641,5924,4788,8641,8495
FBgn0052811,0,1,0,0
FBgn0028550,304,361,617,710
FBgn0026876,4349,3476,5566,4990
FBgn0040366,2156,2407,2657,2312
FBgn0040363,1,3,2,1
FBgn0040368,5,2,8,3
FBgn0026872,174,151,400,409
FBgn0029580,6,2,10,15
FBgn0025383,0,3,6,6
FBgn0025381,3625,2642,6052,5935
FBgn0025394,9123,10418,17432,18121
FBgn0000482,1835,1628,2735,2468
FBgn0001189,2828,2863,3290,3103
FBgn0029587,0,0,0,1
FBgn0024897,1,0,0,1
FBgn0025391,2,4,13,24
FBgn0025378,0,0,0,0
FBgn0023130,1653,1464,3004,2694
FBgn0023530,857,1276,2103,1556
FBgn0025390,18648,14734,34689,35437
FBgn0025393,1,1,11,7
FBgn0003517,74192,50047,211546,205076
FBgn0044508,1,4,12,16
FBgn0025382,236,121,2353,1906
FBgn0052808,21,26,65,72
FBgn0027791,1506,814,6425,5394
FBgn0027793,54,14,68,67
FBgn0052806,3,1,2,0
FBgn0026873,1709,1622,3493,3243
FBgn0023513,8392,7902,11577,10907
FBgn0014411,9339,10395,11814,11482
FBgn0023514,4314,4387,5730,5423
FBgn0029594,2897,2816,4137,3528
FBgn0023519,2034,1663,4933,4082
FBgn0023509,4537,3654,6512,6179
FBgn0023510,5273,4852,6222,6535
FBgn0023508,6077,5003,6989,6842
FBgn0023522,14443,16037,19018,17011
FBgn0023521,1742,1618,2573,2346
FBgn0025627,58,94,65,48
FBgn0025630,7440,6123,11513,9449
FBgn0025629,813,732,1285,1295
FBgn0025628,1482,1188,12777,11381
FBgn0029596,7,1,0,0
FBgn0025626,7874,7573,7998,7046
FBgn0025625,31,20,41,59
FBgn0025631,1098,1357,2034,2158
FBgn0026878,54,74,203,215
FBgn0000667,6854,5344,10887,11211
FBgn0003964,8005,6758,8077,7793
FBgn0023545,2988,2792,5409,4882
FBgn0023520,954,1046,1281,1304
FBgn0023512,3800,3638,6456,5862
FBgn0023511,4349,4861,6189,6220
FBgn0052801,19,7,32,29
FBgn0023518,5367,4891,5664,5328
FBgn0026088,938,936,2571,1774
FBgn0026089,1565,1370,2918,2336
FBgn0023517,4481,3626,10348,9042
FBgn0023516,2393,2011,4357,3952
FBgn0023515,25869,23452,21523,19464
FBgn0028969,7115,6413,13234,12197
FBgn0026090,1745,1903,2972,2427
FBgn0029590,2,6,1,2
FBgn0025624,1122,1078,1518,1311
FBgn0040395,7549,7783,10890,10790
FBgn0000382,9403,10769,14651,14292
FBgn0023507,1336,1070,653,560
FBgn0004654,5177,3399,16227,16284
FBgn0023540,1522,1139,2867,2645
FBgn0025839,1223,995,5225,3620
FBgn0011576,35,36,126,96
FBgn0015036,225,273,360,323
FBgn0003116,2154,2273,3030,2751
FBgn0040899,1299,1218,2205,1627
FBgn0040900,4,8,14,9
FBgn0024984,2250,1889,1770,1488
FBgn0023549,1455,1841,4841,6377
FBgn0029606,4,0,4,3
FBgn0003048,6770,7240,7483,7976
FBgn0000810,6164,8192,7912,7527
FBgn0023523,15,13,20,16
FBgn0023527,6299,6099,11197,10075
FBgn0040391,1,0,4,1
FBgn0053218,19,24,18,10
FBgn0003079,7099,8041,6908,6605
FBgn0003159,7973,8443,11594,12324
FBgn0040389,2150,2060,2350,1817
FBgn0044047,848,1435,1261,1813
FBgn0040392,86,96,87,128
FBgn0023526,25046,28885,13034,13238
FBgn0023529,19544,21571,32624,31530
FBgn0023528,19469,25442,22380,21345
FBgn0027296,3455,3837,3902,3533
FBgn0023524,6,3,2,3
FBgn0023525,70,72,140,89
FBgn0000377,3465,2986,5142,4832
FBgn0001330,4622,4710,6135,5951
FBgn0004397,5989,4734,10343,10700
FBgn0023550,3,0,4,14
FBgn0029603,6,8,335,301
FBgn0023542,3956,4340,6887,6958
FBgn0023541,14,20,33,49
FBgn0005670,2,1,7,7
FBgn0004655,12900,10990,16686,16042
FBgn0013432,2828,3420,5383,4342
FBgn0004861,856,891,1049,1166
FBgn0004860,1641,1712,2314,2260
FBgn0040394,5064,3855,9722,8449
FBgn0040376,0,1,0,1
FBgn0040066,7557,7795,10870,10868
FBgn0001404,9592,10661,10554,10737
FBgn0040336,2797,3066,4129,3647
FBgn0040333,15,19,53,28
FBgn0040334,1015,1049,1459,1410
FBgn0029629,10289,8842,22636,21294
FBgn0011566,2698,2256,3807,3423
FBgn0011606,10123,9685,12918,12423
FBgn0040375,1091,1158,1791,1634
FBgn0040377,5,2,18,25
FBgn0040388,6774,7623,9379,9021
FBgn0003714,2243,2337,6992,4859
FBgn0001150,17,21,28,37
FBgn0052797,0,2,0,0
FBgn0040385,0,0,0,0
FBgn0003371,12137,13209,15480,15593
FBgn0003068,138,110,799,989
FBgn0024993,2265,2040,2939,2654
FBgn0024996,2522,2196,4545,4230
FBgn0024997,6,5,21,22
FBgn0024991,6143,6142,7407,6832
FBgn0000928,225,230,373,434
FBgn0000927,13095,6270,37210,32486
FBgn0000520,2267,1590,3428,2963
FBgn0024975,1288,1124,1752,1652
FBgn0040356,0,0,0,0
FBgn0003996,12071,10182,33244,31553
FBgn0040384,5103,5211,8559,7808
FBgn0024980,154,159,201,253
FBgn0000376,8887,7912,9848,9554
FBgn0024973,3050,1892,6438,5815
FBgn0024998,2704,2578,3988,3573
FBgn0024995,2,2,1,3
FBgn0024994,3266,3147,4510,4047
FBgn0024992,4774,3608,7068,6496
FBgn0000092,7,3,12,14
FBgn0025838,0,1,0,0
FBgn0011276,0,0,0,0
FBgn0004647,2165,2557,4185,4727
FBgn0040396,2774,3407,5446,4982
FBgn0000479,5751,6799,9102,9445
FBgn0002933,0,0,0,0
FBgn0003374,0,0,0,0
FBgn0029660,4,2,1,1
FBgn0029662,195,261,360,341
FBgn0029661,2,0,1,3
FBgn0029659,3,3,0,3
FBgn0029658,0,0,5,4
FBgn0052493,0,0,0,0
FBgn0029657,7,23,99,106
FBgn0029656,0,3,5,2
FBgn0003086,1,0,0,0
FBgn0010296,0,0,0,0
FBgn0010295,0,1,0,0
FBgn0010294,0,0,0,0
FBgn0040393,0,0,0,0
FBgn0000644,3447,3902,9033,16347
FBgn0028746,1953,2455,2954,2299
FBgn0040355,0,2,1,0
FBgn0052793,1,3,5,0
FBgn0029642,0,0,0,2
FBgn0025645,0,0,0,1
FBgn0029643,0,1,0,0
